SUBDIVISION,YEAR,VALUE
ANDAMAN & NICOBAR ISLANDS,1994,3262.8
ANDAMAN & NICOBAR ISLANDS,1995,3115.4
ANDAMAN & NICOBAR ISLANDS,1996,2996.9
ANDAMAN & NICOBAR ISLANDS,1997,2755.1
ANDAMAN & NICOBAR ISLANDS,1998,2846.4
ANDAMAN & NICOBAR ISLANDS,1999,2699.7
ANDAMAN & NICOBAR ISLANDS,2000,2763.2
ANDAMAN & NICOBAR ISLANDS,2001,3080.9
ANDAMAN & NICOBAR ISLANDS,2002,2620.2
ANDAMAN & NICOBAR ISLANDS,2003,2355.9
ANDAMAN & NICOBAR ISLANDS,2004,2460.1
ANDAMAN & NICOBAR ISLANDS,2005,2954.7
ANDAMAN & NICOBAR ISLANDS,2006,2404.7
ANDAMAN & NICOBAR ISLANDS,2007,2748
ANDAMAN & NICOBAR ISLANDS,2008,3374.8
ANDAMAN & NICOBAR ISLANDS,2009,2538.6
ANDAMAN & NICOBAR ISLANDS,2010,3157.1
ANDAMAN & NICOBAR ISLANDS,2011,3828
ANDAMAN & NICOBAR ISLANDS,2012,3497.6
ANDAMAN & NICOBAR ISLANDS,2013,3757.8
ANDAMAN & NICOBAR ISLANDS,2014,2622.4
ANDAMAN & NICOBAR ISLANDS,2015,2904.6
ANDHRA PRADESH,1994,2287.4
ANDHRA PRADESH,1995,3068.8
ANDHRA PRADESH,1996,2520.5
ANDHRA PRADESH,1997,2274.9
ANDHRA PRADESH,1998,3616.7
ANDHRA PRADESH,1999,2316.6
ANDHRA PRADESH,2000,2596.8
ANDHRA PRADESH,2001,2036
ANDHRA PRADESH,2002,2389.2
ANDHRA PRADESH,2003,2451.8
ANDHRA PRADESH,2004,2545.7
ANDHRA PRADESH,2005,2335.5
ANDHRA PRADESH,2006,2259.6
ANDHRA PRADESH,2007,3020.7
ANDHRA PRADESH,2008,2244.4
ANDHRA PRADESH,2009,1749.9
ANDHRA PRADESH,2010,2855.7
ANDHRA PRADESH,2011,2193.7
ANDHRA PRADESH,2012,3440.3
ANDHRA PRADESH,2013,2042.9
ANDHRA PRADESH,2014,2403.2
ANDHRA PRADESH,2015,2767.5
ASSAM,1994,2121.3
ASSAM,1995,2886.1
ASSAM,1996,2466.9
ASSAM,1997,2372.2
ASSAM,1998,2803.1
ASSAM,1999,2594.2
ASSAM,2000,2487
ASSAM,2001,2178.4
ASSAM,2002,2392.7
ASSAM,2003,2434.1
ASSAM,2004,2994.3
ASSAM,2005,2468.3
ASSAM,2006,1898.6
ASSAM,2007,2752.8
ASSAM,2008,2339.7
ASSAM,2009,2068.2
ASSAM,2010,2711.5
ASSAM,2011,1743.4
ASSAM,2012,2609.4
ASSAM,2013,1816.4
ASSAM,2014,2206.1
ASSAM,2015,2470.9
SIKKIM,1994,2127.3
SIKKIM,1995,3557.8
SIKKIM,1996,2800.3
